metric,mean,std,min,max
fold,1.5,0.7071067811865476,1.0,2.0
n_train_trials,22.5,3.5355339059327378,20.0,25.0
n_test_trials,22.5,3.5355339059327378,20.0,25.0
n_train_sessions,2.0,0.0,2.0,2.0
n_test_sessions,2.0,0.0,2.0,2.0
best_train_loss,0.3754494786262512,0.02142248445481424,0.36030149459838867,0.39059746265411377
final_train_loss,0.4800686091184616,0.05992542181057765,0.4376949369907379,0.5224422812461853
final_train_accuracy,0.6550000011920929,0.14849240887630952,0.550000011920929,0.7599999904632568
best_epoch,72.0,12.727922061357855,63.0,81.0
test_accuracy,0.365,0.12020815280171307,0.28,0.45
test_f1_macro,0.2957507404875826,0.04733378270963943,0.262280701754386,0.3292207792207792
